att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,target
-0.389162,0.303879,0.65039,0.303879,-0.042651,-0.389162,-0.389162,-0.735672,-0.735672,0.303879,2.036432,2.729453,2.036432,1.689921,0.65039,-1.082241,-1.428616,-1.775184,-1.082241,-1.082241,-1.082241,-0.389162,-0.042651,0.303879,0.303879,-0.042651,-0.042651,-0.042651,-0.389162,-0.389162,-0.389162,-0.389162,-0.042651,-0.042651,0.303879,-0.042651,-0.042651,-0.042651,-0.389162,-0.389162,-0.389162,-0.389162,-0.735672,-0.042651,-0.042651,-0.042651,-0.389162,-0.042651,0.9969,2.036432,2.729453,2.729453,0.9969,-0.735672,-1.775184,-1.775184,-1.082241,0.303879,0.65039,0.303879,-0.389162,-0.735672,-0.389162,-0.042651,-0.042651,2
-0.573314,-0.312718,-0.052122,1.25087,2.553862,1.511465,-0.052122,-1.876364,-1.355085,0.208488,1.772061,2.293266,1.511465,-0.052122,-0.833953,-1.876364,-1.615725,-1.094446,-0.312718,-0.052122,-0.312718,-0.573314,-0.573314,-0.573314,-0.573314,0.208488,0.208488,0.208488,0.469083,0.469083,0.208488,-0.312718,-0.312718,-0.312718,-0.052122,-0.052122,-0.052122,-0.312718,-0.312718,0.208488,-0.052122,-0.833953,-0.573314,-0.312718,-0.573314,-0.833953,-0.312718,0.729679,1.772061,2.553862,2.293266,1.25087,-0.573314,-1.355085,-1.615725,-1.094446,-0.052122,0.208488,0.469083,-0.052122,-0.573314,-0.312718,0.208488,0.469083,0.469083,2
0.136081,-0.342035,-0.581087,0.136081,1.80944,2.287556,0.853235,-1.059136,-1.77641,-1.059136,0.614183,2.287556,2.765659,1.570389,-0.820178,-2.732508,-2.015368,-0.581087,-0.342035,-0.342035,-0.342035,-0.342035,-0.342035,-0.581087,-0.342035,0.136081,0.614183,0.375132,0.136081,-0.102984,-0.102984,-0.342035,-0.102984,-0.102984,-0.102984,-0.102984,0.136081,0.136081,0.136081,-0.342035,-0.342035,-0.342035,-0.342035,-0.342035,-0.342035,-0.342035,-0.342035,-0.581087,0.614183,1.331337,2.048505,2.048505,1.570389,0.375132,-0.581087,-1.298227,-1.059136,-0.581087,-0.342035,-0.102984,-0.342035,-0.581087,-0.102984,0.375132,0.375132,2
-0.20782,0.017318,0.242468,0.242468,0.467606,0.692744,0.692744,0.467606,0.017318,-1.10836,-1.10836,0.692744,2.718998,-0.432958,-2.008937,-2.234112,-0.20782,0.917882,2.043584,1.818434,1.368158,0.467606,-0.432958,-0.883184,-0.658134,-0.20782,-0.20782,-0.20782,-0.432958,-0.658134,-0.658134,-0.883184,-1.10836,-0.658134,0.017318,0.467606,0.467606,0.017318,-0.20782,-0.658134,-0.20782,0.467606,0.017318,0.017318,0.017318,0.467606,0.692744,0.242468,-0.20782,0.017318,1.14302,2.268722,1.368158,-2.234112,-1.558711,1.14302,1.593296,-1.10836,-1.558711,-1.333535,0.017318,0.017318,0.467606,0.017318,-0.432958,1
-0.431937,-1.105742,0.017274,1.589527,2.487963,1.364921,0.017274,-0.881099,-1.555029,-0.431937,1.140316,1.814133,1.589527,0.691104,-0.431937,-1.555029,-1.330386,-0.881099,-0.431937,-0.431937,-0.656581,-0.656581,-0.881099,-0.431937,0.017274,0.241892,0.241892,0.017274,0.017274,0.241892,0.241892,0.241892,-0.207332,0.017274,0.017274,0.017274,0.017274,0.017274,-0.207332,0.017274,-0.431937,-1.330386,-1.555029,0.017274,0.691104,-0.207332,-0.431937,0.91571,2.038751,2.487963,2.487963,0.91571,-1.105742,-1.779547,-1.779547,-1.330386,-0.207332,0.241892,0.017274,-0.207332,-0.207332,0.017274,0.241892,0.466498,0.466498,2
-0.734092,-0.47044,-0.47044,1.111222,1.638438,1.37483,1.37483,0.584006,0.056776,0.056776,0.584006,0.847614,0.847614,-0.206832,-1.261249,-1.524901,-1.524901,-0.734092,-0.206832,-0.47044,-0.734092,-0.734092,-0.47044,0.056776,0.320399,0.320399,0.056776,0.056776,0.056776,0.320399,0.056776,-0.206832,-0.206832,0.056776,0.056776,0.320399,0.584006,0.847614,0.847614,0.584006,-2.052057,-3.633823,-2.052057,0.056776,1.111222,0.847614,1.37483,1.902046,1.902046,1.111222,0.847614,0.847614,-0.47044,-0.734092,-1.524901,-1.524901,-0.997596,-0.206832,0.056776,0.056776,-0.47044,0.056776,0.056776,0.056776,0.320399,2
0.048121,-0.160425,-0.160425,0.048121,0.256678,0.256678,0.048121,-0.577552,-0.994596,-0.577552,0.465224,1.507953,1.716498,1.716498,-1.411758,-2.87159,-2.245848,0.048121,2.342147,2.759239,1.716498,0.048121,-0.786016,-0.786016,-0.368971,-0.160425,-0.368971,-0.786016,-0.994596,-0.994596,-0.160425,0.256678,0.256678,0.256678,0.256678,0.256678,0.256678,0.256678,0.048121,-0.160425,-0.160425,-0.368971,-0.160425,-0.160425,-0.160425,0.048121,0.048121,-0.160425,-0.577552,0.465224,1.299407,1.507953,2.342147,1.507953,-0.786016,-0.786016,-0.368971,-0.577552,-0.994596,-0.160425,0.256678,-0.786016,-1.203177,-0.577552,0.256678,1
-0.207675,0.037756,0.037756,0.037756,0.037756,0.037756,0.037756,0.037756,-0.207675,-0.453105,-0.698577,0.774061,0.774061,0.2832,-1.434855,-1.680327,-0.698577,0.774061,2.001214,2.737519,2.001214,0.2832,-0.943911,-0.943911,-0.698577,0.037756,-0.453105,-0.943911,-0.943911,-0.943911,-0.453105,0.2832,0.528631,0.774061,0.528631,0.528631,0.2832,0.2832,-0.207675,-0.453105,-0.453105,-0.207675,-0.207675,-0.207675,0.037756,0.2832,0.2832,0.037756,-0.207675,-1.680327,-1.680327,1.019492,2.982949,0.528631,-1.680327,-1.925661,0.528631,2.001214,1.755783,-0.698577,-0.698577,-1.189383,-0.207675,0.528631,0.2832,1
-0.706495,-0.523601,-0.157637,1.306105,2.586881,2.403915,0.940172,-0.889493,-1.438382,-0.706495,0.574239,1.123139,0.940172,0.02533,-0.706495,-0.889493,-0.706495,-0.523601,-0.340603,-0.340603,-0.523601,-0.523601,-0.340603,-0.157637,0.208306,0.208306,0.02533,0.02533,0.02533,0.391273,0.208306,0.02533,-0.157637,-0.157637,-0.157637,-0.157637,-0.157637,-0.340603,-0.340603,-0.340603,-0.706495,-1.07249,-1.07249,0.208306,0.940172,-0.157637,-0.889493,-0.157637,1.855015,2.952824,2.952824,1.489072,-0.523601,-2.170269,-1.987271,-1.255487,-0.523601,0.02533,0.02533,-0.157637,0.02533,0.02533,0.02533,0.208306,0.208306,2
-0.158696,-0.158696,-0.158696,0.238051,0.039672,0.039672,-0.158696,-0.158696,-0.357064,-1.150559,-0.952158,0.238051,1.626629,2.61848,1.031524,-2.539147,-1.944054,-0.753756,0.833156,1.825008,1.825008,1.42826,0.039672,-0.555466,-0.753756,-0.357064,-0.158696,-0.357064,-0.555466,-0.555466,-0.555466,-0.158696,-0.158696,0.039672,0.039672,0.238051,0.43642,0.238051,0.039672,-0.158696,-0.158696,0.039672,-0.158696,-0.158696,-0.158696,-0.158696,0.039672,0.238051,0.238051,0.238051,0.238051,0.039672,0.039672,-0.357064,-1.944054,-1.150559,0.833156,2.023376,2.221744,1.626629,1.031524,0.43642,-1.745653,-2.142344,-1.150559,1
-0.655072,-0.655072,-0.355217,1.743788,2.643371,2.043643,-0.055362,-0.954978,-1.254716,0.544366,1.743788,2.343498,1.443932,-0.055362,-1.854527,-1.854527,-1.554622,-0.655072,-0.355217,-0.355217,-0.355217,-0.355217,-0.355217,-0.655072,-0.655072,-0.055362,0.544366,0.244511,-0.055362,-0.355217,-0.655072,-0.355217,-0.355217,-0.355217,-0.055362,0.244511,0.544366,-0.055362,-0.055362,-0.055362,-0.055362,-0.055362,-0.655072,-0.954978,-0.655072,-0.954978,-0.655072,0.544366,1.443932,2.343498,2.343498,1.144077,0.244511,-0.355217,-1.254716,-0.954978,-0.355217,-0.055362,0.244511,-0.055362,-0.655072,-0.655072,-0.055362,0.544366,0.844221,2
-0.110109,-0.110109,0.038998,0.038998,0.038998,0.188114,0.038998,0.038998,0.188114,-0.408348,-0.706529,-0.110109,1.082757,2.126515,0.486328,-2.346733,-2.048552,-0.408348,0.933649,1.679194,1.530086,1.231864,0.635435,0.038998,-0.408348,-0.706529,-0.706529,-0.408348,-0.408348,-0.408348,-0.259216,-0.110109,-0.259216,-0.259216,-0.259216,-0.259216,-0.110109,0.038998,0.188114,0.337221,-0.110109,-0.408348,-0.259216,0.188114,0.188114,-0.110109,-0.259216,-0.110109,0.188114,0.038998,-0.110109,0.635435,1.380979,0.038998,-2.346733,-2.197601,0.038998,1.530086,2.275622,2.275622,1.679194,0.188114,-2.346733,-1.452106,-1.004793,1
-0.37769,-0.37769,-0.101853,-0.101853,-0.101853,-0.37769,-0.37769,0.173999,-0.101853,-1.205138,-1.205138,0.449836,0.173999,-1.481021,-2.032787,-0.37769,2.104857,2.932382,2.104857,0.449836,-0.92941,-0.92941,-1.205138,-0.92941,-0.101853,0.173999,0.449836,-0.101853,-0.37769,-0.37769,-0.37769,-0.101853,-0.101853,-0.101853,-0.101853,0.173999,0.449836,0.449836,0.449836,0.173999,0.449836,0.449836,0.449836,0.449836,0.173999,-0.101853,-0.37769,-0.37769,0.173999,0.173999,0.449836,1.00151,2.104857,1.553183,-1.205138,-2.584399,-2.032787,-0.101853,1.277346,2.104857,1.277346,-0.101853,-0.37769,-0.653526,-0.92941,2
-0.184472,-0.002796,0.178891,0.178891,-0.002796,-0.002796,0.178891,0.178891,-0.002796,-0.547856,-1.092874,-1.092874,0.360567,2.177341,3.267409,-1.8196,-2.364619,-1.092874,0.360567,1.632311,1.632311,1.450625,1.087272,0.360567,-0.184472,-0.547856,-0.911168,-0.729461,-0.366149,-0.366149,-0.547856,-0.547856,-0.547856,-0.366149,-0.366149,-0.002796,-0.002796,0.360567,0.360567,0.360567,0.178891,-0.002796,-0.002796,-0.366149,-0.366149,-0.002796,-0.002796,-0.184472,-0.002796,-0.002796,-0.002796,0.360567,0.72392,-0.366149,-2.182912,-1.092874,1.450625,2.177341,1.813988,1.268949,-0.911168,-1.456186,-1.092874,-0.366149,-0.002796,1
-0.877165,-0.164481,-0.164481,0.073098,0.310691,0.54827,0.54827,0.785849,0.54827,-0.164481,-1.352404,-0.877165,1.023429,1.973745,0.073098,-1.590023,-1.590023,-0.639679,0.310691,1.736166,3.161655,1.736166,0.54827,-0.164481,-1.114784,-0.877165,-0.40206,-0.40206,-0.639679,-0.877165,-0.639679,-0.877165,-1.114784,-0.639679,-0.164481,0.310691,0.785849,0.785849,0.310691,0.073098,-0.164481,-0.164481,-0.40206,-0.40206,-0.639679,-0.40206,-0.164481,0.310691,0.073098,0.073098,0.073098,1.023429,2.211338,1.736166,-1.590023,-2.065128,0.54827,1.736166,0.785849,0.073098,-0.40206,-1.114784,-1.352404,-0.40206,0.310691,1
0.044151,0.044151,0.044151,0.044151,0.044151,0.044151,0.044151,0.044151,-0.115307,-0.274764,-0.912613,-0.593644,0.522533,1.638747,1.957662,-1.709858,-1.709858,-0.753129,0.681991,1.638747,2.11712,1.479289,0.203618,-0.434249,-0.274764,-0.593644,-0.593644,-0.593644,-0.593644,-0.434249,-0.912613,-0.593644,-0.115307,0.203618,0.203618,0.044151,0.044151,0.203618,0.203618,0.363076,-0.115307,-0.274764,-0.274764,-0.115307,-0.115307,-0.274764,-0.115307,0.044151,0.203618,0.363076,0.203618,-0.274764,-1.072098,-0.912613,-0.753129,-0.593644,0.841449,1.798204,2.914418,2.436035,1.479289,-1.072098,-2.826071,-1.709858,-0.434249,1
0.336331,0.032696,0.63995,0.032696,-0.270923,-0.270923,-0.878212,-0.574542,0.032696,1.550807,2.461664,2.158045,1.247188,0.63995,-0.270923,-0.878212,-1.485382,-1.485382,-0.878212,-0.270923,0.032696,-0.270923,-0.270923,0.032696,0.336331,0.336331,0.032696,-0.270923,-0.574542,-0.574542,-0.270923,-0.574542,-0.270923,0.032696,0.032696,0.032696,0.032696,-0.270923,-0.270923,-0.878212,-0.574542,-0.574542,-0.574542,0.336331,1.854426,0.63995,-1.789052,-1.485382,1.247188,3.068918,2.765299,1.854426,0.032696,-0.878212,-1.789052,-1.181712,-0.574542,0.032696,-0.270923,-0.270923,-0.270923,-0.270923,0.032696,0.032696,0.336331,2
0.030075,0.309419,-0.249254,0.030075,-0.807958,-1.366552,0.868075,1.147404,1.147404,0.030075,-1.087177,-0.249254,1.426732,2.544062,2.264718,-1.645927,-1.087177,-0.249254,0.030075,-0.807958,-0.528582,-0.249254,-0.528582,-0.528582,-1.087177,-0.528582,0.309419,0.588747,0.309419,0.030075,-0.249254,0.030075,0.588747,0.588747,-0.807958,-1.087177,-0.249254,0.030075,-0.249254,-0.528582,-0.249254,0.030075,0.588747,-0.807958,-1.925303,0.030075,1.985389,1.426732,-0.807958,-1.087177,1.147404,2.544062,2.544062,-1.366552,-1.087177,-1.366552,0.030075,0.588747,0.030075,-0.249254,-0.249254,0.309419,0.309419,-0.249254,-0.249254,1
-0.083369,0.593946,0.255298,0.255298,-0.422017,-1.437884,-1.437884,-1.099369,-0.083369,0.932593,2.287184,2.625832,1.948537,1.609889,0.932593,-0.760664,-1.437884,-1.099369,-0.760664,-0.760664,-0.422017,-0.422017,0.255298,0.255298,-0.083369,-0.422017,-0.083369,0.255298,0.255298,-0.083369,-0.760664,-1.099369,-0.422017,-0.083369,-0.083369,-0.083369,-0.083369,-0.083369,0.255298,-0.083369,-0.083369,-0.422017,-1.099369,-0.422017,-0.083369,0.932593,0.255298,-0.422017,0.255298,1.948537,2.625832,2.287184,1.609889,-0.422017,-1.776589,-1.437884,-1.437884,-0.422017,0.255298,0.255298,-0.083369,-0.760664,-0.422017,-0.083369,-0.083369,2
-1.025978,-1.025978,-0.048866,1.416899,1.905483,1.172608,0.439732,-0.293157,-1.025978,-0.537449,0.928316,1.416899,1.416899,0.684024,-0.781782,-1.514644,-1.270311,-0.781782,-0.537449,-0.293157,-0.293157,-0.537449,-0.537449,-0.293157,-0.048866,0.684024,0.684024,0.439732,-0.048866,-0.048866,-0.293157,-0.293157,-0.048866,-0.048866,0.19544,-0.048866,0.19544,-0.293157,-0.537449,-0.048866,-0.537449,-1.025978,-1.025978,-0.293157,-0.293157,-0.781782,0.19544,1.661191,2.394081,2.882665,2.882665,1.416899,-0.293157,-1.025978,-1.514644,-1.758977,-1.270311,-0.537449,0.439732,0.439732,0.19544,-0.537449,-0.537449,-0.293157,0.19544,2
